X,Y,OBJECTID,BOATLANDING_SEQ_NO,LMS_BOAT_LANDING_NAME,LANDING_TYPE_CODE,RAMP_TYPE_CODE,ADA_ACCESSIBLE_FEATURE_CODE,OWNERSHIP_NAME_TEXT,OWNERSHIP_MANAGER_NAME_TEXT,OWNERSHIP_MANAGER_PHONE_TEXT,LL_LAT_DD_AMT,LL_LONG_DD_AMT,WATERBODY_NAME_TEXT,COUNTY_NAME_TEXT,MUNICIPALITY_NAME_TEXT,TOWN_NO,RANGE_NO,RANGE_DIRECTION,ABANDON_FLAG
627773.20001199,255914.4800673,36,72,Cruise Lane Access,RAMP,Gravel,No,TOWNSHIP,Town of Whitewater,262-473-4639,42.76818939,-88.6827154,Whitewater Lake,Walworth,TOWN OF WHITEWATER,4,15,E,No
642261.52741199,294342.905667299,37,93,Fowler Lake,RAMP,Concrete Panels,No,CITY,"Parks, Recreation & Forestry Dept.",(262) 569-2199,43.11202896,-88.49713289,Fowler Lake,Waukesha,CITY OF OCONOMOWOC,8,17,E,No
646221.37771199,232890.820267299,38,50,Lake Geneva - Hillside Road,RAMP,Concrete Plank,Yes,TOWNSHIP,Town of Linn,262-275-6300 Ext. 10,42.55810682,-88.46241878,Lake Geneva,Walworth,TOWN OF LINN,1,17,E,No
655618.96761199,261502.329267299,39,65,Potter Lake Boat Ramp,RAMP,Concrete Panels,Yes,STATE(DNR),,,42.81406949,-88.34114527,Potter Lake,Walworth,TOWN OF EAST TROY,4,18,E,No
651913.17291199,289219.7002673,40,112,Nagawicka Lake Boat Launch,RAMP,Concrete Plank,Yes,COUNTY,Dept. of Parks & Land Use,(262) 548-7790,43.06421762,-88.37992605,Nagawicka Lake,Waukesha,CITY OF DELAFIELD,7,18,E,No
611496.96491199,306852.877267299,42,3818,Garden Road Boat Launch,RAMP,Gravel,No,STATE(DNR),Wildlife Biologist,(920)-387-7882,43.229,-88.8733,Beaver Dam/Crawfish Rivers,Dodge,TOWN OF SHIELDS,9,14,E,No
673792.214611989,333585.872167299,43,78,Green Lake Access,RAMP,Gravel,No,TOWNSHIP,Town of Farmington,262-447-1018,43.45938355,-88.09896785,Green Lake,Washington,TOWN OF FARMINGTON,12,20,E,No
636392.11671199,256351.101167299,44,58,Lauderdale Lakes - Westshore Drive,RAMP,Concrete Plank,No,TOWNSHIP,Town of La Grange,262-495-8200,42.77086011,-88.57730908,Green Lake,Walworth,TOWN OF LA GRANGE,4,16,E,No
630700.662611989,241463.1872673,45,47,Comus Lake Boat Ramp,RAMP,Concrete Plank,Yes,CITY,Park & Recreation Office,(262) 728-5585,42.63766656,-88.64976614,Comus Lake,Walworth,CITY OF DELAVAN,2,16,E,No
652546.12441199,272231.1498673,46,127,Spring Lake,CARRY-IN,Unimproved,No,TOWNSHIP,Town of Mukwonago,262-363-7077,42.91143541,-88.37569027,Spring Lake,Waukesha,TOWN OF MUKWONAGO,5,18,E,No
641951.52321199,300990.6675673,47,111,Monterey Millpond Access,CARRY-IN,Unimproved,No,TOWNSHIP,Town of Oconomowoc,920-474-4449,43.17184408,-88.49963884,Monterey Millpond,Waukesha,TOWN OF OCONOMOWOC,8,17,E,No
670324.525511989,356233.447667299,48,135,Butler Lake Ramp,RAMP,Paved,No,STATE(DNR),Kettle Moraine State Forest - North. Unit,(262) 626-2116,43.66390356,-88.13553273,Butler Lake,Sheboygan,TOWN OF MITCHELL,14,20,E,No
642536.26651199,237396.395867299,50,45,Lake Como Ramp,RAMP,Concrete Plank,No,TOWNSHIP,Town of Geneva,262-248-8497,42.59926263,-88.50632635,Lake Como,Walworth,TOWN OF GENEVA,2,17,E,No
664576.57991199,247124.8616673,51,33,Fischer County Park Boat Launch,RAMP,Concrete Plank,Yes,COUNTY,Parks Department,(262) 886-8440,42.68301564,-88.23530344,Browns Lake,Racine,TOWN OF BURLINGTON,3,19,E,No
660935.44911199,326964.5535673,52,75,Big Cedar Lake,RAMP,Paved,Yes,LOCAL,Big Cedar Lake Protection & Rehabilitation District ,262-629-9322,43.40232312,-88.25938848,Big Cedar Lake,Washington,TOWN OF WEST BEND,11,19,E,No
649664.803011989,293546.099967299,53,92,Forest Lake Carry-In,CARRY-IN,Unimproved,No,COUNTY,Dept. of Parks & Land Use,(262) 548-7790,43.10289463,-88.40762427,Forest Lake,Waukesha,VILLAGE OF NASHOTAH,7,18,E,No
672478.90201199,265314.605567299,54,8,Wind Lake Canal Public Access,RAMP,Concrete Plank,No,STATE(DNR),,,42.84520965,-88.13398764,Muskego Canal,Waukesha,CITY OF MUSKEGO,5,20,E,No
655846.636211989,266382.4929673,55,105,Lower Phantom Lake,RAMP,Paved,Yes,VILLAGE,,,42.85795817,-88.33718394,Lower Phantom Lake,WAUKESHA,VILLAGE OF MUKWONAGO,,,,No
654994.56961199,303590.6070673,56,80,Loew Lake Access,RAMP,Gravel,No,COUNTY,Planning & Parks Dept.,(262) 335-4445,43.19302972,-88.33859941,Oconomowoc River,Washington,TOWN OF ERIN,,,E,No
645640.39531199,281132.5041673,57,95,Hunters Lake Landing,RAMP,Gravel,No,TOWNSHIP,Town of Ottawa,262-965-3228,42.99248303,-88.45875923,Hunters Lake,Waukesha,TOWN OF OTTAWA,6,17,E,No
643209.15021199,290580.584367299,58,14,Silver Lake,RAMP,Concrete Panels,Yes,STATE(DNR),,,43.07793128,-88.48648408,Silver Lake,Waukesha,TOWN OF SUMMIT,7,17,E,No
669906.64681199,350457.480667299,59,142,Lake Seven Boat Launch,RAMP,Concrete Plank,No,STATE(DNR),Kettle Moraine State Forest - North. Unit,(262) 626-2116,43.61200809,-88.14231561,Lake Seven,Sheboygan,TOWN OF SCOTT,13,20,E,No
649700.707611989,296363.023367299,60,216,Moose Lake Public Access,RAMP,Concrete Panels,Yes,STATE(DNR),Land Maintenance Technician,(414) 263-8711,43.12889926,-88.40541981,Moose Lake,Waukesha,TOWN OF MERTON,18,8,E,No
648511.45251199,236330.984067298,61,54,Lake Geneva Boat Launch,RAMP,Concrete,No,CITY,City of Lake Geneva,(262) 248-3673,42.58869886,-88.43375708,Lake Geneva,Walworth,CITY OF LAKE GENEVA,2,17,E,No
675882.99961199,269401.8295673,62,215,Big Muskego & Bass Bay - Boxhorn Launch,RAMP,Concrete,Yes,CITY,Parks & Recreation Department,(262) 679-5645,42.88130954,-88.09121781,Big Muskego Lake,Waukesha,CITY OF MUSKEGO,5,20,E,No
626509.16121199,255917.972767299,63,71,Whitewater Lake Ramp,RAMP,Concrete,Yes,STATE(DNR),Kettle Moraine State Forest - South. Unit,(262) 594-6200,42.76839748,-88.69816085,Whitewater Lake,Walworth,TOWN OF WHITEWATER,4,15,E,No
672557.702611989,249799.203267299,64,35,Minnetonka Drive Boat Ramp,RAMP,Concrete,Yes,TOWNSHIP,Town of Dover,262-878-2200,42.70554497,-88.13721547,Eagle Lake,Racine,TOWN OF DOVER,3,20,E,No
663433.02541199,230025.302667299,65,27,Lance Park Boat Ramp,RAMP,Concrete Panels,Yes,VILLAGE,Village of Twin Lakes,262-877-2858,42.52930793,-88.2535614,Lake Mary,Kenosha,VILLAGE OF TWIN LAKES,1,19,E,No
672298.03141199,230225.114567298,67,16,Camp Lake Boat Ramp,RAMP,Gravel,No,TOWNSHIP,Town of Salem,262-843-2313,42.52941098,-88.14562137,Camp Lake,Kenosha,TOWN OF SALEM,1,20,E,No
646145.51961199,294409.0129673,68,13,Okauchee Lake Public Access,RAMP,Concrete Panels,Yes,STATE(DNR),,,43.11191073,-88.44955678,Okauchee Lake,Waukesha,TOWN OF OCONOMOWOC,8,17,E,No
632156.59091199,253281.179767299,69,61,North Lake Ramp,RAMP,Gravel,No,TOWNSHIP,Town of Sugar Creek,262-742-3383,42.74385333,-88.62967552,North Lake,Walworth,TOWN OF SUGAR CREEK,3,16,E,No
637187.281011989,231894.157967299,71,53,Lake Geneva Access,RAMP,Concrete,Yes,VILLAGE,Village of Fontana,262-275-6136,42.55055759,-88.57263876,Lake Geneva,Walworth,VILLAGE OF FONTANA ON GENEVA,1,16,E,No
653005.94091199,274017.9557673,72,131,Willow Spring Lake,CARRY-IN,Unimproved,No,TOWNSHIP,Town of Mukwonago,262-363-7077,42.92718929,-88.37013196,Willow Spring Lake,Waukesha,TOWN OF MUKWONAGO,5,18,E,No
644549.04061199,288168.9108673,74,128,Upper Genesee Lake,CARRY-IN,Unimproved,No,STATE(DNR),,,43.05600311,-88.47057036,Upper Genesee Lake,Waukesha,TOWN OF SUMMIT,7,17,E,No
627340.91131199,251475.1915673,75,69,Turtle Lake Ramp,RAMP,Concrete Plank,No,TOWNSHIP,Town of Richmond,608-883-2017,42.72828257,-88.68884057,Turtle Lake,Walworth,TOWN OF RICHMOND,3,15,E,No
669122.60101199,265800.166667299,76,88,Denoon Park Boat Ramp,RAMP,Concrete Plank,No,CITY,Parks & Recreation Department,(262) 679-5645,42.85024197,-88.17491224,Lake Denoon,Waukesha,CITY OF MUSKEGO,5,20,E,No
677785.82171199,374863.432367299,77,133,Elkhart Lake Boat Ramp,RAMP,Concrete Panels,Yes,COUNTY,Planning Dept.,(920) 459-3060,43.83000148,-88.03757135,Elkhart Lake,Sheboygan,TOWN OF RHINE,16,21,E,No
676207.71951199,235300.558067299,78,29,68th Street Boat Ramp,RAMP,Concrete Plank,Yes,VILLAGE,Village of Paddock Lake,262-843-2713,42.5743141,-88.09665421,Paddock Lake,Kenosha,VILLAGE OF PADDOCK LAKE,1,20,E,No
678947.673011989,227532.199767299,79,31,Shangrila-Benet Lake,RAMP,Gravel,No,TOWNSHIP,Town of Bristol,608-837-6494,42.50383435,-88.06544743,Benet Lake,Kenosha,TOWN OF BRISTOL,1,12,E,No
671694.40291199,273972.337667299,80,99,Idle Isle Park Boat Ramp,RAMP,Concrete,No,CITY,Parks & Recreation Department,(262) 679-5645,42.92331824,-88.14123073,Little Muskego Lake,Waukesha,CITY OF MUSKEGO,5,20,E,No
643866.83331199,274989.639167299,81,116,Ottawa Lake,RAMP,Gravel,Unknown,STATE(DNR),,,42.93747596,-88.4818688,Ottawa Lake,WAUKESHA,TOWN OF OTTAWA,,,,No
645776.198711989,294034.518067298,82,113,Upper Oconomowoc Lake Access,RAMP,Concrete Plank,No,VILLAGE,Village of Oconomowoc Lake,262-567-5301,43.10860108,-88.45417931,Upper Oconomowoc Lake,Waukesha,VILLAGE OF OCONOMOWOC LAKE,8,17,E,No
650367.74381199,260459.6555673,83,44,Wilmers Landing,RAMP,Concrete Panels,Yes,TOWNSHIP,Town of East Troy,262-642-5386,42.80559583,-88.40559322,Beulah Lake,Walworth,TOWN OF EAST TROY,4,18,E,No
669245.78341199,332681.809367299,84,83,Wallace Lake,RAMP,Gravel,No,TOWNSHIP,Town of Trenton,262-675-6009 Ext. 101,43.45216759,-88.15538482,Wallace Lake,Washington,TOWN OF TRENTON,11,20,E,No
655685.51161199,235810.4876673,85,56,Ivanhoe Lake,RAMP,Paved,No,TOWNSHIP,Town of Lyons,262-763-9936,42.582785,-88.34648106,Lake Ivanhoe,Walworth,TOWN OF LYONS,2,18,E,No
666449.915811989,234104.607567299,86,26,Lily Lake Boat Ramp,RAMP,Concrete Plank,No,TOWNSHIP,Town of Wheatland,262-537-4340,42.56546192,-88.21579918,Lily Lake,Kenosha,TOWN OF WHEATLAND,1,19,E,No
676165.054111989,271007.5786673,87,87,Big Muskego Lake - Durham Drive Access,RAMP,Concrete,No,CITY,Parks & Recreation Department,(262) 679-5645,42.89570405,-88.0873193,Big Muskego Lake,Waukesha,CITY OF MUSKEGO,5,20,E,No
642258.25781199,276692.906967299,89,121,Pretty Lake,RAMP,Gravel,No,TOWNSHIP,Town of Ottawa,262-965-3228,42.95306866,-88.50120511,Pretty Lake,Waukesha,TOWN OF OTTAWA,6,17,E,No
676821.355011989,376967.145267298,91,145,Sheboygan Lake Access,RAMP,Concrete,No,COUNTY,Planning Department,920-459-3060,43.84913713,-88.04894282,Sheboygan Lake,Sheboygan,TOWN OF RUSSELL,16,20,E,No
643895.628511989,299495.334367299,93,85,Ashippun Lake Boat Ramp,RAMP,Concrete Panels,Yes,STATE(DNR),,,43.15806752,-88.47606358,Ashippun Lake,Waukesha,TOWN OF OCONOMOWOC,8,17,E,No
681275.05721199,229842.359667299,94,21,George Lake,RAMP,Gravel,No,VILLAGE,Village of Bristol,262-857-2368,42.52414553,-88.03648586,George Lake,Kenosha,TOWN OF BRISTOL,1,21,E,No
655089.232211989,231442.090467298,95,62,Pell Lake Boat Ramp,RAMP,Gravel,No,VILLAGE,Village of Bloomfiels,262-279-6039,42.54356505,-88.35477848,Pell Lake,Walworth,TOWN OF BLOOMFIELD,1,18,E,No
649083.478411989,313252.679067299,96,77,Druid Lake,RAMP,Gravel,No,OTHER,,,43.28103356,-88.40905852,Druid Lake,Washington,TOWN OF ERIN,9,18,E,No
653531.61571199,266614.2791673,97,104,Lower Phantom Lake,CARRY-IN,Unimproved,No,STATE(DNR),,,42.86092129,-88.36483953,Mukwonago River,Waukesha,TOWN OF MUKWONAGO,5,18,E,No
657351.83181199,300337.8712673,98,96,Lake Keesus Access,RAMP,Concrete Panels,Yes,STATE(DNR),,,43.16332732,-88.31040812,Lake Keesus,Waukesha,TOWN OF MERTON,8,18,E,No
647866.026011989,265916.6906673,99,11,Eagle Spring Lake (and Lulu Lake),RAMP,Concrete Panels,Yes,STATE(DNR),,,42.8551419,-88.43493896,Eagle Spring Lake,Waukesha,TOWN OF EAGLE,5,17,E,No
635748.31641199,255226.942367299,100,59,Lauderdale Lakes - Ridge Road,RAMP,Concrete Plank,Yes,TOWNSHIP,Town of La Grange,262-495-8200,42.76083711,-88.58540641,Middle Lake,Walworth,TOWN OF LA GRANGE,4,16,E,No
659226.56321199,289869.1696673,101,119,Pewaukee Lake,RAMP,Concrete,No,CITY,Parks & Recreation,262-691-7275,43.06875693,-88.28998322,Pewaukee Lake,Waukesha,CITY OF PEWAUKEE,7,19,E,No
691204.31801199,231411.149467299,103,25,Prairie Springs Park,RAMP,Other,No,VILLAGE,Village of Pleasant Prairie,262-694-1400,42.53612992,-87.91520357,Lake Andrea,Kenosha,VILLAGE OF PLEASANT PRAIRIE,1,22,E,No
682139.209211989,372333.3504673,104,143,Little Elkhart Lake Boat Ramp,RAMP,Concrete Plank,No,COUNTY,Planning Dept.,(920) 459-3060,43.80629291,-87.98422601,Little Elkhart Lake,Sheboygan,TOWN OF RHINE,16,21,E,No
623725.297411989,262960.9438673,105,48,Cravath Lakefront Boat Ramp,RAMP,Concrete,No,CITY,Parks & Recreation Department,(262) 473-0520,42.83218844,-88.73088372,Cravath Lake,Walworth,CITY OF WHITEWATER,4,15,E,No
643745.899411989,287223.5665673,106,12,Middle Genesee Lake,RAMP,Gravel,No,STATE(DNR),,,43.04762464,-88.48063944,Middle Genesee Lake,Waukesha,TOWN OF SUMMIT,7,17,E,No
625778.97981199,254774.2956673,107,74,Town Line Road Access,RAMP,Gravel,No,TOWNSHIP,Town of Whitewater,262-473-4639,42.75820187,-88.70729761,Whitewater Lake,Walworth,TOWN OF WHITEWATER,4,15,E,No
651729.75621199,297224.242567299,108,120,Pine Lake,RAMP,Concrete Panels,Yes,VILLAGE,Village of Chenequa,262-367-2239,43.13630102,-88.38027913,Pine Lake,Waukesha,VILLAGE OF CHENEQUA,8,18,E,No
640152.896111989,235045.626167299,109,52,Williams Bay Boat Ramp,RAMP,Concrete,No,VILLAGE,Village of Williams Bay,262-245-2700,42.57847416,-88.53586496,Lake Geneva,Walworth,VILLAGE OF WILLIAMS BAY,1,17,E,No
673908.61791199,250301.816067299,111,34,Eagle Lake County Park Boat Launch,RAMP,Concrete,Yes,COUNTY,Parks Department,(262) 886-8440,42.70979944,-88.1205924,Eagle Lake,Racine,TOWN OF DOVER,3,20,E,No
637926.75541199,258179.727467299,112,64,Pleasant Lake,RAMP,Concrete Plank,No,TOWNSHIP,Town of La Grange,262-495-8200,42.78708793,-88.55817457,Pleasant Lake,Walworth,TOWN OF LA GRANGE,4,16,E,No
672761.211411989,231223.1412673,113,17,Center Lake Boat Ramp,RAMP,Grate,No,TOWNSHIP,Town of Salem,262-843-2313,42.53830291,-88.1397179,Center Lake,Kenosha,TOWN OF SALEM,1,20,E,No
652741.06861199,296020.685767299,115,86,Beaver Lake Public Access,CARRY-IN,Unimproved,No,STATE(DNR),,,43.12529086,-88.3681373,Beaver Lake,Waukesha,VILLAGE OF CHENEQUA,8,18,E,No
660355.07091199,231398.921167299,117,217,Powers Lake,RAMP,Concrete,Yes,TOWNSHIP,Town of Randall,262-877-2165,42.54223792,-88.29068485,Powers Lake,Kenosha,TOWN OF RANDALL,1,19,E,No
671176.34171199,231710.446867298,120,223,Highway F Access,CARRY-IN,Gravel,No,VILLAGE,Village of Silver Lake,262-889-4308,42.54300086,-88.15887933,Silver Lake,Kenosha,VILLAGE OF SILVER LAKE,1,20,E,No
672458.28951199,228443.901667299,121,228,Camp Lake Fishery Area Boat Launch,RAMP,Concrete Panels,Yes,STATE(DNR),,,42.5133465,-88.14414578,Camp Lake,Kenosha,TOWN OF SALEM,1,20,E,No
670837.49011199,232834.6289673,125,233,Cogswell Drive Boat Ramp,RAMP,Gravel,No,VILLAGE,Village of Silver Lake,262-889-4308,42.54966057,-88.16573795,Silver Lake,Kenosha,VILLAGE OF SILVER LAKE,1,20,E,No
670207.55881199,231461.266967298,126,234,Fox River County Park Boat Ramp,RAMP,Concrete Plank,No,COUNTY,Parks Department,(262) 857-1869,42.54094686,-88.17073741,Fox River,Kenosha,VILLAGE OF SILVER LAKE,1,20,E,No
699096.26271199,238144.1051673,127,237,Simmon's Island Boat Harbor,RAMP,Concrete,No,CITY,Parks Dept.,(262) 653-4080,42.59493319,-87.81705523,Lake Michigan,Kenosha,CITY OF KENOSHA,2,23,E,No
661396.89601199,247173.378367299,128,238,Echo Lake Veterans Memorial Park Boat Ramp,RAMP,Concrete,No,CITY,DPW - Parks Department,(262) 763-2060,42.68404361,-88.27408511,Echo Lake,Racine,CITY OF BURLINGTON,3,19,E,No
660669.70171199,241375.697967298,129,239,Lagoon Drive Boat Ramp,RAMP,Concrete,No,TOWNSHIP,Town of Burlington,262-763-3070,42.63198869,-88.28439315,Bohner Lake,Racine,TOWN OF BURLINGTON,2,19,E,No
671485.019411989,233304.060267299,130,241,288th Avenue Boat Launch,RAMP,Concrete Panels,No,STATE(DNR),,,42.55728472,-88.15469933,Silver Lake,Kenosha,VILLAGE OF SILVER LAKE,,,E,No
661676.85081199,227755.615067299,131,20,Elizabeth Lake,RAMP,Gravel,No,VILLAGE,Village of Twin Lakes,262-877-2858,42.50920058,-88.27549715,Elizabeth Lake,Kenosha,VILLAGE OF TWIN LAKES,1,19,E,No
661913.393311989,246940.633067299,133,246,Riverside Park Access,CARRY-IN,Unimproved,No,CITY,DPW - Parks Department,(262) 763-2060,42.68185341,-88.26784167,Fox River,Racine,CITY OF BURLINGTON,3,19,E,No
701819.755711989,253047.3562673,135,251,Lake Michigan Access (Pershing Park),RAMP,Concrete,No,CITY,Parks Department,(262) 636-9131,42.72840838,-87.7791131,Lake Michigan,Racine,CITY OF RACINE,3,23,E,No
643757.79921199,234578.9601673,136,255,Lake Geneva Access,RAMP,Paved,No,TOWNSHIP,Town of Linn,262-275-6300 ext. 10,42.57370327,-88.49205289,Lake Geneva,Walworth,TOWN OF LINN,1,17,E,No
692449.22251199,288691.795567298,138,253,McKinley Park Marina,RAMP,Concrete,No,COUNTY,Milwaukee County Parks,(414) 257-7275,43.05133928,-87.8825452,Lake Michigan,Milwaukee,CITY OF MILWAUKEE,7,22,E,No
